timestamp,region,actual_demand_mw,forecast_demand_mw,rooftop_actual_mw,rooftop_forecast_mw
2026-06-16 23:30:00,VIC1,,5293.85,,0.0
2026-06-17 00:00:00,NSW1,,7891.37,,0.0
2026-06-17 00:00:00,QLD1,,6108.81,,0.0
2026-06-17 00:00:00,SA1,,1515.29,,0.0
2026-06-17 00:00:00,TAS1,,1072.0,,0.0
2026-06-17 00:00:00,VIC1,,5160.23,,0.0
2026-06-17 00:30:00,NSW1,,7792.64,,0.0
2026-06-17 00:30:00,QLD1,,5924.04,,0.0
2026-06-17 00:30:00,SA1,,1526.57,,0.0
2026-06-17 00:30:00,TAS1,,1057.0,,0.0
2026-06-17 00:30:00,VIC1,,4976.14,,0.0
2026-06-17 01:00:00,NSW1,,7652.62,,0.0
2026-06-17 01:00:00,QLD1,,5752.2,,0.0
2026-06-17 01:00:00,SA1,,1545.64,,0.0
2026-06-17 01:00:00,TAS1,,1044.0,,0.0
2026-06-17 01:00:00,VIC1,,4811.26,,0.0
2026-06-17 01:30:00,NSW1,,7471.18,,0.0
2026-06-17 01:30:00,QLD1,,5619.5,,0.0
2026-06-17 01:30:00,SA1,,1529.78,,0.0
2026-06-17 01:30:00,TAS1,,1030.0,,0.0
2026-06-17 01:30:00,VIC1,,4656.7,,0.0
2026-06-17 02:00:00,NSW1,,7254.45,,0.0
2026-06-17 02:00:00,QLD1,,5558.03,,0.0
2026-06-17 02:00:00,SA1,,1507.92,,0.0
2026-06-17 02:00:00,TAS1,,1028.0,,0.0
2026-06-17 02:00:00,VIC1,,4505.99,,0.0
2026-06-17 02:30:00,NSW1,,7096.11,,0.0
2026-06-17 02:30:00,QLD1,,5508.55,,0.0
2026-06-17 02:30:00,SA1,,1477.97,,0.0
2026-06-17 02:30:00,TAS1,,1030.0,,0.0
2026-06-17 02:30:00,VIC1,,4402.58,,0.0
2026-06-17 03:00:00,NSW1,,6964.94,,0.0
2026-06-17 03:00:00,QLD1,,5488.71,,0.0
2026-06-17 03:00:00,SA1,,1445.02,,0.0
2026-06-17 03:00:00,TAS1,,1032.0,,0.0
2026-06-17 03:00:00,VIC1,,4328.13,,0.0
2026-06-17 03:30:00,NSW1,,6885.48,,0.0
2026-06-17 03:30:00,QLD1,,5506.95,,0.0
2026-06-17 03:30:00,SA1,,1420.6,,0.0
2026-06-17 03:30:00,TAS1,,1036.0,,0.0
2026-06-17 03:30:00,VIC1,,4303.66,,0.0
2026-06-17 04:00:00,NSW1,,6842.55,,0.0
2026-06-17 04:00:00,QLD1,,5527.58,,0.0
2026-06-17 04:00:00,SA1,,1401.83,,0.0
2026-06-17 04:00:00,TAS1,,1041.0,,0.0
2026-06-17 04:00:00,VIC1,,4281.23,,0.0
2026-06-17 04:30:00,NSW1,,6897.06,0.0,0.0
2026-06-17 04:30:00,QLD1,,5602.41,0.0,0.0
2026-06-17 04:30:00,SA1,,1394.56,0.0,0.0
2026-06-17 04:30:00,TAS1,,1050.0,0.0,0.0
2026-06-17 04:30:00,VIC1,,4299.56,0.0,0.0
2026-06-17 05:00:00,NSW1,,6994.17,0.0,0.0
2026-06-17 05:00:00,QLD1,,5733.36,0.0,0.0
2026-06-17 05:00:00,SA1,,1388.83,0.0,0.0
2026-06-17 05:00:00,TAS1,,1063.0,0.0,0.0
2026-06-17 05:00:00,VIC1,,4348.52,0.0,0.0
2026-06-17 05:30:00,NSW1,,7193.57,,0.0
2026-06-17 05:30:00,QLD1,,5900.97,,0.0
2026-06-17 05:30:00,SA1,,1376.9,,0.0
2026-06-17 05:30:00,TAS1,,1000.0,,0.0
2026-06-17 05:30:00,VIC1,,4521.89,,0.0
2026-06-17 05:55:00,NSW1,7528.1,,,
2026-06-17 05:55:00,QLD1,6236.42,,,
2026-06-17 05:55:00,SA1,1404.64,,,
2026-06-17 05:55:00,TAS1,1054.83,,,
2026-06-17 05:55:00,VIC1,4868.89,,,
2026-06-17 06:00:00,NSW1,7616.96,7473.27,,0.0
2026-06-17 06:00:00,QLD1,6323.15,6139.72,,0.0
2026-06-17 06:00:00,SA1,1420.78,1408.39,,0.0
2026-06-17 06:00:00,TAS1,1063.3,1034.0,,0.0
2026-06-17 06:00:00,VIC1,4926.63,4782.11,,0.0
2026-06-17 06:30:00,NSW1,,8045.18,,0.0
2026-06-17 06:30:00,QLD1,,6489.12,,0.0
2026-06-17 06:30:00,SA1,,1448.91,,0.0
2026-06-17 06:30:00,TAS1,,1108.0,,0.0
2026-06-17 06:30:00,VIC1,,5156.98,,0.0
2026-06-17 07:00:00,NSW1,,8599.62,,0.0
2026-06-17 07:00:00,QLD1,,6709.25,,36.535
2026-06-17 07:00:00,SA1,,1525.39,,0.0
2026-06-17 07:00:00,TAS1,,1182.0,,0.0
2026-06-17 07:00:00,VIC1,,5529.61,,0.0
2026-06-17 07:30:00,NSW1,,9000.18,,92.991
2026-06-17 07:30:00,QLD1,,6801.6,,251.986
2026-06-17 07:30:00,SA1,,1600.36,,0.0
2026-06-17 07:30:00,TAS1,,1243.0,,0.0
2026-06-17 07:30:00,VIC1,,5879.36,,0.0
2026-06-17 08:00:00,NSW1,,9140.18,,442.459
2026-06-17 08:00:00,QLD1,,6650.67,,683.21
2026-06-17 08:00:00,SA1,,1698.49,,0.0
2026-06-17 08:00:00,TAS1,,1301.0,,0.0
2026-06-17 08:00:00,VIC1,,6160.46,,0.0
2026-06-17 08:30:00,NSW1,,9002.13,,917.084
2026-06-17 08:30:00,QLD1,,6400.16,,1135.993
2026-06-17 08:30:00,SA1,,1780.7,,0.0
2026-06-17 08:30:00,TAS1,,1321.0,,3.381
2026-06-17 08:30:00,VIC1,,6293.08,,94.438
2026-06-17 09:00:00,NSW1,,8673.42,,1412.836
2026-06-17 09:00:00,QLD1,,6073.13,,1581.13
2026-06-17 09:00:00,SA1,,1826.79,,0.0
2026-06-17 09:00:00,TAS1,,1318.0,,7.227
2026-06-17 09:00:00,VIC1,,6225.36,,329.438
2026-06-17 09:30:00,NSW1,,8392.43,,1832.653
2026-06-17 09:30:00,QLD1,,5791.3,,1959.79
2026-06-17 09:30:00,SA1,,1834.38,,9.47
2026-06-17 09:30:00,TAS1,,1308.0,,12.976
2026-06-17 09:30:00,VIC1,,6085.24,,568.255
2026-06-17 10:00:00,NSW1,,8102.61,,2154.457
2026-06-17 10:00:00,QLD1,,5552.78,,2258.436
2026-06-17 10:00:00,SA1,,1840.25,,33.166
2026-06-17 10:00:00,TAS1,,1289.0,,20.345
2026-06-17 10:00:00,VIC1,,5888.1,,786.572
2026-06-17 10:30:00,NSW1,,7753.37,,2386.25
2026-06-17 10:30:00,QLD1,,5415.51,,2477.227
2026-06-17 10:30:00,SA1,,1851.38,,60.644
2026-06-17 10:30:00,TAS1,,1273.0,,27.546
2026-06-17 10:30:00,VIC1,,5685.2,,956.117
2026-06-17 11:00:00,NSW1,,7483.59,,2527.035
2026-06-17 11:00:00,QLD1,,5301.97,,2626.612
2026-06-17 11:00:00,SA1,,1895.56,,82.114
2026-06-17 11:00:00,TAS1,,1252.0,,32.897
2026-06-17 11:00:00,VIC1,,5531.48,,1073.891
2026-06-17 11:30:00,NSW1,,7295.4,,2608.376
2026-06-17 11:30:00,QLD1,,5300.93,,2734.061
2026-06-17 11:30:00,SA1,,1872.78,,103.031
2026-06-17 11:30:00,TAS1,,1236.0,,36.172
2026-06-17 11:30:00,VIC1,,5506.37,,1156.34
2026-06-17 12:00:00,NSW1,,7187.11,,2667.567
2026-06-17 12:00:00,QLD1,,5282.14,,2816.498
2026-06-17 12:00:00,SA1,,1823.63,,118.771
2026-06-17 12:00:00,TAS1,,1221.0,,38.963
2026-06-17 12:00:00,VIC1,,5449.92,,1194.702
2026-06-17 12:30:00,NSW1,,7109.89,,2708.071
2026-06-17 12:30:00,QLD1,,5214.64,,2856.52
2026-06-17 12:30:00,SA1,,1818.29,,129.746
2026-06-17 12:30:00,TAS1,,1204.0,,43.936
2026-06-17 12:30:00,VIC1,,5391.49,,1183.535
2026-06-17 13:00:00,NSW1,,7057.25,,2678.313
2026-06-17 13:00:00,QLD1,,5186.46,,2850.207
2026-06-17 13:00:00,SA1,,1799.22,,132.441
2026-06-17 13:00:00,TAS1,,1188.0,,48.505
2026-06-17 13:00:00,VIC1,,5388.0,,1140.65
2026-06-17 13:30:00,NSW1,,7118.46,,2548.29
2026-06-17 13:30:00,QLD1,,5254.96,,2752.798
2026-06-17 13:30:00,SA1,,1775.97,,130.202
2026-06-17 13:30:00,TAS1,,1178.0,,52.322
2026-06-17 13:30:00,VIC1,,5491.77,,1078.017
2026-06-17 14:00:00,NSW1,,7155.7,,2357.324
2026-06-17 14:00:00,QLD1,,5319.69,,2572.803
2026-06-17 14:00:00,SA1,,1776.67,,130.341
2026-06-17 14:00:00,TAS1,,1187.0,,53.091
2026-06-17 14:00:00,VIC1,,5572.31,,984.683
2026-06-17 14:30:00,NSW1,,7273.03,,2077.82
2026-06-17 14:30:00,QLD1,,5470.41,,2302.114
2026-06-17 14:30:00,SA1,,1751.08,,128.272
2026-06-17 14:30:00,TAS1,,1193.0,,47.358
